Org Comment,ISBN,Title,Author,Edition,Copyright,Publisher
Book DNE,9780534359324,The Human Services Counseling Textbook,Howard,2000,2000,Thomson Publishing
Master DOC,9780534515645,Interpersonal Process in Psychotherapy: Relational,"Teyber, Edward",4th,1999,Wadsworth Publishing
Book already there,9780534393212,Calculus: Early Transcendentals,Stewart,5th,2003,Thomson
DOC & TXT done,9780534519858,Intentional Interviewing and Counseling,IVEY,5th,2003,Thomson
DOC done; Master PDF,9780534521066,Wrightsman's Psychology and the Legal System,"Greene, Edith",6th,2006,Wadsworth Publishing
"DOC, RTF, TIFF done",9780534536053,Theory and Practice of Counseling and Psychotherapy,GERALD COREY,7th,2005,wadsworth
TIFF & DOC done,9780534553500,Life-span human development,"Sigelman, Carol K.",4,2003,Thomsons
DOC,9780534555306,Human Motivation,Franken,5th,2002,Wadsworth Thomson Learning
DOC done,9780534556921,LIFESPAN,LEFRANCOIS,6th,1999,THOMSON
"DOC, TXT",9780534556938,LIFESPAN :STUDENT STUDY GUIDE,YARBROUGH,,1999,Thomson
DOC done,9780534558116,Research Methods for the Behavioral Sciences,Gravetter & Forzano,6th,2006,Tjomson/Wadworth
"DOC done. Master PDF, DOC, TEXT",9780534574062,DIVERSITY and DEVELOPMENT,Comstock,1st,2004,Wadsworth
DOC done,9780534574185,The Elements of Counseling,Meier and Davis,2005,2005,Thomson; Brooks Cole
"Master DOC, DOC done.",9780534592301,Music of the People of the World,Alves,,2006,Thomson
DOC done,9780534619831,Theories of Personality,Ryckman,8th,2003,Thomson
Master PDF,9780495572398,Audio in Media,"Alten, Stanley",9th,2011,Wadsworth
DOC done,9780534630546,Media/Impact: An Intro to Mass Media,"Biagi, Shirley",,,
Master DOC,9780534633967,Essentials of Statistics for the Behavioral,GRAVETTER,5,2004,Wadsworth Publishing
DOC done,9780534640477,Research Methods Laboratory Manual for Psychology,William Langston,2nd,2005,Thomson/Wadworth
